Author,Comment
@donaldtrumpn114,"VĂN QUYẾN NẾU KHÔNG XA NGÃ, CÓ THỂ ĐÃ LÀ BIỂU TƯỢNG MARADONA CỦA VN ! VĂN QUYẾN CÙNG THỜI VỚI CÔNG VINH. QUYẾN THÌ TÀI NĂNG BẨM SINH NHƯ MESSI NHƯNG XA NGÃ, CÒN CÔNG VINH THÌ KHỔ LUYỆN NHƯ RONALDO MÀ CÓ ĐƯỢC THÀNH CÔNG."
@phuongtran1338,Tài năng sinh ra không đến lúc
@nguyethoang3995,Đừng so sánh công vinh vs VQ về kĩ năng chơi bóng
@thanhaonguyen4141,Không biết bao giờ việt Nam mới san sinh ra một tiền đạo như Văn Quyến
@thoaile6926,Một  lân  sai lâm  để  lại  ngan  đời  sau  noi  gương  hãy  lấy  đó  mà thành  công
@Minhle-vx2gv,Tức thằng Tài em &amp; thằng Công Vinh khi xem video này ( 2 thằng chó chết) VQ rất giống Maradona từ thể chất lẫn kỹ thuật mà pháp luật VN khi đấy thật lòng rất quá đáng?
@nguyenminhtamnguyenminhtam9476,Con người dơ bẩn quá đi
@nguyenminhtamnguyenminhtam9476,Đem lại đội tuyển để bán độ nữa hả gì trời! Thôi rồi
@Nguyen181,"ngoại hình thì lãng tử như trong phim kiếm hiệp, tài năng và lối chơi thì hay như các siêu sao nam mĩ. Thế nhưng có lẽ vì quá trẻ, nổi tiếng quá nhanh và có cuộc sống khó khăn nên mới dễ sa đoạ như vậy 😢"
@tuanpoke,VQ10😍
@ThangNguyen_94,Tài năng nhất bóng VN là : Văn Quyến<br>Thành công nhất bóng VN lại là : Công Vinh
@hoabuithi2024,"Tôi ko biết là thế lực nào đã tìm cách phá lứa cầu thủ Văn Quyến, nếu ko thì Việt nam có thể đã 3,hay 4 lần vô địch AFF cúp rồi."
@tuonghoa8508,văn quyến vẫn là số 1 của bóng đá việt nam
@12882,Cho có một tiền đạo nào của VN đá hay bằng văn quyên cả . Tiếc cho e
@DieuTran-ix8xh,"Rất ngưỡng mộ MC , vì bạn bình luận hay quá"
@TiểuTânTân,Thiên tài xa ngã k biết khi nào nước ta mới có nhân tài như quyến buồn
@tienhg669,.
@hungsonpham6226,Với tui Quyến là số 1 vn từ lúc tui biết coi đá banh.
@nhadatchauthanh1985,"Vài chục năm nữa sẽ có 1 thần đồng xuất hiện thôi, đợi thôi"
@TruongVu-dz8bj,Nhìn quang hải.. gương mặt có nét giống chú
